Variable1,Variable2,Pair,Method,N,Missing Pair N,Correlation,Abs Correlation,Direction,Strength,P Value,High Correlation
trend,conversions,trend  ↔  conversions,spearman,5000,0,0.0482692807276825,0.0482692807276825,Positive,Very Weak,0.000639483919396325,FALSE
trend,revenue,trend  ↔  revenue,spearman,4850,150,0.0449710225707522,0.0449710225707522,Positive,Very Weak,0.00173237734970868,FALSE
clicks,cvr,clicks  ↔  cvr,spearman,5000,0,0.0167244597457415,0.0167244597457415,Positive,Very Weak,0.237053013938006,FALSE
trend,roas,trend  ↔  roas,spearman,5000,0,0.0157173456821098,0.0157173456821098,Positive,Very Weak,0.266493062562813,FALSE
impressions,cvr,impressions  ↔  cvr,spearman,5000,0,0.0147240664292663,0.0147240664292663,Positive,Very Weak,0.297901154898727,FALSE
impressions,ctr,impressions  ↔  ctr,spearman,4920,80,-0.00938083511876515,0.00938083511876515,Negative,Very Weak,0.510638061332269,FALSE
spend,ctr,spend  ↔  ctr,spearman,4920,80,-0.00783657019065695,0.00783657019065695,Negative,Very Weak,0.582630084797837,FALSE
trend,cpc,trend  ↔  cpc,spearman,4880,120,-0.00725644979686089,0.00725644979686089,Negative,Very Weak,0.612301751357403,FALSE
trend,ctr,trend  ↔  ctr,spearman,4920,80,-0.00373679396968099,0.00373679396968099,Negative,Very Weak,0.793288155012305,FALSE
trend,cvr,trend  ↔  cvr,spearman,5000,0,0.00264197967406679,0.00264197967406679,Positive,Very Weak,0.851841133521538,FALSE
ctr,cvr,ctr  ↔  cvr,spearman,4920,80,-0.00101495926588529,0.00101495926588529,Negative,Very Weak,0.94325933443812,FALSE
